Stress,ECG_Rate_Mean,HRV_MeanNN,HRV_SDNN,HRV_RMSSD,HRV_SDSD,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_IQRNN,HRV_Prc20NN,HRV_Prc80NN,HRV_pNN50,HRV_pNN20,HRV_MinNN,HRV_MaxNN,HRV_HTI,HRV_TINN,HRV_SD1,HRV_SD2,HRV_SD1SD2,HRV_S,HRV_CSI,HRV_CVI,HRV_CSI_Modified,HRV_PIP,HRV_IALS,HRV_PSS,HRV_PAS,HRV_GI,HRV_SI,HRV_AI,HRV_PI,HRV_C1d,HRV_C1a,HRV_SD1d,HRV_SD1a,HRV_C2d,HRV_C2a,HRV_SD2d,HRV_SD2a,HRV_Cd,HRV_Ca,HRV_SDNNd,HRV_SDNNa,HRV_DFA_alpha1,HRV_MFDFA_alpha1_Width,HRV_MFDFA_alpha1_Peak,HRV_MFDFA_alpha1_Mean,HRV_MFDFA_alpha1_Max,HRV_MFDFA_alpha1_Delta,HRV_MFDFA_alpha1_Asymmetry,HRV_MFDFA_alpha1_Fluctuation,HRV_MFDFA_alpha1_Increment,HRV_ApEn,HRV_ShanEn,HRV_FuzzyEn,HRV_CD,HRV_HFD,HRV_KFD,HRV_LZC
0,75.76175618003549,103.66666666666667,9.540889446407574,8.13106916181911,8.249573454723217,0.09203430334155216,0.07843475075709751,104.0,8.8956,0.08553461538461539,12.5,95.0,110.0,0.0,0.0,85.0,129.0,2.5714285714285716,31.25,5.83332933173132,12.37804372211355,0.4712642371193111,226.83934319264824,2.1219518079977444,3.062688491089323,105.06244902245591,0.4722222222222222,0.48484848484848486,0.8125,0.1,50.471698113207566,50.434965568695965,50.504746344405625,63.63636363636363,0.6019878997407088,0.39801210025929146,4.526068284686727,3.680233368559503,0.3177535025374347,0.6822464974625654,6.977457270667129,10.22404305656862,0.36940940686800605,0.6305905931319938,5.88090996707281,7.683592065877386,1.3049871499671775,2.700749520714729,1.8482249399314181,2.134462853007508,-1.2857382479340345,-1.0928209483463975,-0.39401537947867915,0.002528405541174178,0.5005673625897453,0.08983769407988218,4.2600670152711055,1.2840385019149894,2.200769927205388,1.683537641302686,2.507938581893314,1.43609027817842
0,74.0982850278765,105.41666666666667,9.050256507809204,5.776800894217194,5.859991109064869,0.08585223564720193,0.054799692277159154,109.5,5.9304,0.05415890410958904,11.25,98.0,112.0,0.0,0.0,82.0,117.0,2.0,0.0,4.143639450912647,12.291009216619488,0.3371276823476593,159.99977660797185,2.966235205119587,2.9110894862552605,145.83209697914415,0.4444444444444444,0.48571428571428577,0.6470588235294118,0.2857142857142857,51.17647058823529,51.111970371216174,51.23079191246678,54.285714285714285,0.5796232876712327,0.4203767123287672,3.1552943369741553,2.687115225533531,0.36045665779829045,0.6395433422017095,7.379281368629804,9.829298756555232,0.3828317697526336,0.6171682302473664,5.674930654657734,7.205404300971333,1.4915878450670546,0.8568125037439085,1.763616781532058,1.6620386107163432,0.7497147192867519,0.29793644843573386,-0.618553557950965,0.0006978423053857352,0.07184252732778486,0.30503274789056345,4.2736843762620245,1.115115576873756,1.5376825281941473,1.6915585902662706,2.286333008236831,0.861654166907052
0,81.16816410503276,95.9,7.8798672382412445,5.837544267662823,5.913341807813276,0.08216754158749993,0.06087116024674476,95.5,8.1543,0.08538534031413612,11.25,89.0,103.0,0.0,0.0,83.0,116.0,3.076923076923077,0.0,4.181364091778685,9.834151021607786,0.4251881105538558,129.18281127824247,2.3519001947100224,2.8181748413946752,92.51576681010847,0.45,0.4594594594594595,0.6470588235294118,0.2,49.152542372881356,49.243957905014305,49.04722179385085,54.054054054054056,0.580135440180587,0.41986455981941323,3.185080350965304,2.7096319423785022,0.4450340136054421,0.5549659863945579,6.560447674070003,7.326053004966518,0.46572185735683813,0.5342781426431618,5.15675336458492,5.523276106385451,1.1046035149182307,1.8308862927160972,1.3536660827080658,1.6721260322749605,-0.8729287594915522,-1.0119057157078455,-0.3260624098646436,0.0011402174642247238,0.21120803005942163,0.2964311848793697,4.434183719779189,1.1817481080070036,1.9369618379630273,1.6913163072018789,1.939819768655125,0.7982892142331044
0,89.687067254132,86.02272727272727,10.433596531160905,3.6758166313047695,3.604322494214888,0.12128883682194977,0.04273076136787579,85.0,8.8956,0.10465411764705883,11.0,75.6,94.0,0.0,0.0,72.0,112.0,3.3846153846153846,0.0,2.548640877242558,13.994125487959488,0.18212219687721126,112.04804439935656,5.490818896030619,2.756374391056166,307.3568346508466,0.5,0.4871794871794871,0.7894736842105263,0.2857142857142857,33.88429752066114,34.30692583158697,33.35519588206574,66.66666666666666,0.3838209982788296,0.6161790017211702,1.629344010564345,2.064438122566225,0.22166598709893093,0.778334012901069,6.588632642269147,12.346070957109509,0.2271977252431936,0.7728022747568064,4.79921045587378,8.851196891943136,1.610739749617885,1.5376610363523575,1.8993158859020203,2.032055208658196,-0.2719331829987368,-0.4323908559501044,-0.4136745227862049,0.000641166889489317,0.14973085009723422,0.3689311165082647,4.5443256525806985,0.6480801452666126,1.3861981435448436,1.457009156462303,1.4170273400470923,0.9926239306613268
0,96.68632592105267,80.97872340425532,6.967281803270156,3.24037034920393,3.2672433682009574,0.08603842479077702,0.04001508313520355,80.0,4.4478,0.0555975,6.0,77.0,83.0,0.0,0.0,72.0,103.0,1.9583333333333333,0.0,2.310289941441673,9.590769012000335,0.2408868296745496,69.60970469613768,4.151327000114747,2.549639901327666,159.2576734055233,0.5106382978723404,0.4594594594594595,0.6470588235294118,0.25,55.55555555555556,55.98372283535114,55.122933540752285,54.054054054054056,0.6563146997929604,0.34368530020703925,1.876758434701233,1.3581032524975576,0.47572322288236035,0.5242767771176398,6.615011562107333,6.944384225741847,0.4856788373548391,0.5143211626451609,4.862129172956839,5.003444649397884,1.6568856218466614,0.834849407388063,1.8237213712642346,1.6659685704669602,0.5050735017346284,0.44496531052755905,-0.6889595888806161,0.0002475356570295582,0.04004516001555122,0.4669643906945993,3.8152568099360535,0.756186114131844,1.2879077011579794,1.424216130205952,1.4352872864180686,0.7090964491503368
0,88.28025819615743,88.51162790697674,11.3271105318659,5.671566509057851,5.739860018446347,0.12797313527856902,0.06407707826838875,87.0,11.8608,0.1363310344827586,18.0,78.4,99.6,0.0,0.0,73.0,113.0,3.5833333333333335,0.0,4.058693942104953,15.691762710321193,0.2586512437787097,200.08194849642788,3.8662099025340657,3.00817801807811,242.67059351543435,0.3023255813953488,0.28205128205128205,0.45454545454545453,0.0,49.142857142857146,49.09087266607216,49.20236125154606,58.97435897435898,0.592153960029608,0.4078460399703924,3.123475237772121,2.5922021902471166,0.4975046805051603,0.5024953194948396,11.068029744427799,11.123404808487741,0.5034405879403407,0.49655941205965914,8.13195486904945,8.076188665720055,1.7327300572382025,0.8046054056332661,1.904754719643054,1.749570125172725,0.27483765530169535,0.18899681927736278,-0.6928704348539528,0.000454976935366571,0.035583347806079475,0.4052239020162056,4.553944405764263,0.7751240743101506,1.4880654926600168,1.4550447928282595,2.2462954475015646,0.7571532215863394
0,70.3479515134774,111.70588235294117,8.867815185690212,5.477225575051661,5.512898099416082,0.07938539134109195,0.049032561756649946,114.5,8.8956,0.07769082969432314,13.5,103.6,119.4,0.0,0.0,93.0,124.0,2.8333333333333335,0.0,3.8982076300875415,11.611490194865365,0.33571983997466065,142.2010488489057,2.9786741232674174,2.8598729096439506,138.34738150407523,0.5294117647058824,0.5483870967741935,0.8823529411764706,0.1111111111111111,58.333333333333336,58.87779961839905,57.814459796273354,45.16129032258064,0.6343434343434343,0.36565656565656557,3.132491021535417,2.378287198805056,0.5650619003197018,0.43493809968029823,8.72842677028899,7.657758853682781,0.572192513368984,0.42780748663101603,6.557359753906198,5.669987683459154,1.3112016770820367,0.6178423407032505,1.5093085851197485,1.429600104158992,-0.2877430006688755,-1.2877430006688755,-0.6290110368124485,0.0020445565422996504,0.07870034751739734,0.2568295471592723,4.278351811711312,1.12458253838551,2.0560836203779873,1.6448995461039095,1.7833123949143415,0.5985250401470987
0,75.06526460376064,103.1891891891892,13.827986592892445,7.4962953813496735,7.558606993523323,0.13400615608617614,0.07264613124932895,102.0,16.3086,0.15988823529411764,22.0,89.0,119.6,0.0,0.0,85.0,130.0,3.3636363636363638,0.0,5.344742261444404,18.764994004795206,0.28482515156032606,315.08307107769343,3.510925894436678,3.205395179797015,263.530013441538,0.43243243243243246,0.45454545454545453,0.6,0.1111111111111111,43.062200956937794,42.928794726908016,43.2322009753409,60.60606060606061,0.4814631735046961,0.5185368264953039,3.7301857479602427,3.871138629100524,0.3966288858461383,0.6033711141538618,11.817907870201536,14.576078127240828,0.40306340041429595,0.5969365995857039,8.762911392421389,10.664140093255124,1.3305424333087457,1.5535139390103652,1.6238243661805423,1.8407035606423578,0.012152494140853953,-0.3415292765865008,-0.36039443289451645,0.0023430167309111826,0.21946579779297284,0.29207904394998074,4.519999987133628,0.94525432212461,1.40125458265366,1.6552917344291576,1.9946861210762532,1.1263682952711243
0,80.93613016339465,96.82051282051282,7.482863914416286,5.3113582364391005,5.365714878682728,0.077285935556736,0.054857778395425036,96.0,8.8956,0.0926625,11.0,89.6,103.4,0.0,0.0,85.0,114.0,3.0,23.4375,3.7941333766301106,9.829846847583212,0.38598092477533813,117.16805424649408,2.5908016065354897,2.7757793278243774,101.86873201886563,0.46153846153846156,0.4864864864864865,0.6666666666666666,0.2857142857142857,54.87804878048779,55.07053246143675,54.68415933480156,56.75675675675676,0.6343283582089553,0.36567164179104483,3.0313675443913413,2.301585822275002,0.4570861407434498,0.5429138592565503,6.645777209655116,7.242895438053094,0.48019443066905276,0.519805569330947,5.165052947916436,5.373864141559015,1.2365439741253603,2.051882200068323,1.5523901108835856,1.7302100893139856,-0.8553274864245743,-0.4751365949697792,-0.4133381154022979,0.0007750679084941848,0.2301781176180036,0.26071217008004277,4.252974975106083,1.295080372854102,1.944421207829902,1.7515272820047894,1.9453120494791871,1.0841850705358458
0,72.865141508159,107.14285714285714,7.059173660784189,5.8435484787523935,5.9144977320529835,0.06588562083398576,0.05453978580168901,107.0,5.9304,0.05542429906542056,8.0,102.6,112.2,0.0,0.0,90.0,124.0,2.6923076923076925,23.4375,4.182181453647121,8.998935369790212,0.4647418035345461,118.23440690866678,2.151732407962018,2.779713987151284,77.45320348933308,0.5428571428571428,0.5625,0.8333333333333334,0.09090909090909091,54.545454545454554,54.35926705769213,54.7268462028783,53.125,0.5977605512489232,0.4022394487510767,3.2427074359478554,2.6600296193383968,0.414735970493876,0.5852640295061239,5.795314171992951,6.884415112234225,0.4473981568033529,0.5526018431966472,4.6957862955661565,5.218760820985982,1.0108462978409576,2.2622921134453153,1.4078318863807433,1.629543785845158,-0.9056842998175032,-0.646317032820797,-0.4019967854077152,0.0014234021177575342,0.3210724534298955,0.2948011217862043,4.150292659616669,1.362499618409529,1.7824649592367823,1.85478190087372,2.4071747446191387,1.3189584900715627
